"";"Region";"ProduitsFrais";"Lait";"Epicerie";"Surgele";"Detergents";"Traiteur";"Total";"% ProduitsFrais";"% Lait";"% Epicerie";"% Surgele";"% Detergents";"% Traiteur"
"37";3;29955;4362;5428;1729;862;4626;46962;64;9;12;4;2;10
"38";3;15168;10556;12477;1920;6506;714;47341;32;22;26;4;14;2
"39";3;4591;15729;16709;33;6956;433;44451;10;35;38;0;16;1
"40";3;56159;555;902;10002;212;2916;70746;79;1;1;14;0;4
"41";3;24025;4332;4757;9510;1145;5864;49633;48;9;10;19;2;12
"42";3;19176;3065;5956;2033;2575;2802;35607;54;9;17;6;7;8
"43";3;10850;7555;14961;188;6899;46;40499;27;19;37;0;17;0
"44";3;630;11095;23998;787;9529;72;46111;1;24;52;2;21;0
"45";3;9670;7027;10471;541;4618;65;32392;30;22;32;2;14;0
"46";3;5181;22044;21531;1740;7353;4985;62834;8;35;34;3;12;8
"47";3;3103;14069;21955;1668;6792;1452;49039;6;29;45;3;14;3
"48";3;44466;54259;55571;7782;24171;6465;192714;23;28;29;4;13;3
"49";3;11519;6152;10868;584;5121;1476;35720;32;17;30;2;14;4
"50";3;4967;21412;28921;1798;13583;1163;71844;7;30;40;3;19;2
"51";3;6269;1095;1980;3860;609;2162;15975;39;7;12;24;4;14
"52";3;3347;4051;6996;239;1538;301;16472;20;25;42;1;9;2
"53";3;40721;3916;5876;532;2587;1278;54910;74;7;11;1;5;2
"54";3;491;10473;11532;744;5611;224;29075;2;36;40;3;19;1
"55";3;27329;1449;1947;2436;204;1333;34698;79;4;6;7;1;4
"56";3;5264;3683;5005;1057;2024;1130;18163;29;20;28;6;11;6
"57";3;4098;29892;26866;2616;17740;1340;82552;5;36;33;3;21;2
"58";3;5417;9933;10487;38;7572;1282;34729;16;29;30;0;22;4
"59";3;13779;1970;1648;596;227;436;18656;74;11;9;3;1;2
"60";3;6137;5360;8040;129;3084;1603;24353;25;22;33;1;13;7
"61";3;8590;3045;7854;96;4095;225;23905;36;13;33;0;17;1
"62";3;35942;38369;59598;3254;26701;2017;165881;22;23;36;2;16;1
"63";3;7823;6245;6544;4154;4074;964;29804;26;21;22;14;14;3
"64";3;9396;11601;15775;2896;7677;1295;48640;19;24;32;6;16;3
"65";3;4760;1227;3250;3724;1247;1145;15353;31;8;21;24;8;7
"66";3;85;20959;45828;36;24231;1423;92562;0;23;50;0;26;2
"67";3;9;1534;7417;175;3468;27;12630;0;12;59;1;27;0
"68";3;19913;6759;13462;1256;5141;834;47365;42;14;28;3;11;2
"69";3;2446;7260;3993;5870;788;3095;23452;10;31;17;25;3;13
"70";3;8352;2820;1293;779;656;144;14044;59;20;9;6;5;1
"71";3;16705;2037;3202;10643;116;1365;34068;49;6;9;31;0;4
"72";3;18291;1266;21042;5373;4173;14472;64617;28;2;33;8;6;22
"73";3;4420;5139;2661;8872;1321;181;22594;20;23;12;39;6;1
"74";3;19899;5332;8713;8132;764;648;43488;46;12;20;19;2;1
"75";3;8190;6343;9794;1285;1901;1780;29293;28;22;33;4;6;6
"76";3;20398;1137;3;4407;3;975;26923;76;4;0;16;0;4
"77";3;717;3587;6532;7530;529;894;19789;4;18;33;38;3;5
"78";3;12205;12697;28540;869;12034;1009;67354;18;19;42;1;18;1
"79";3;10766;1175;2067;2096;301;167;16572;65;7;12;13;2;1
"80";3;1640;3259;3655;868;1202;1653;12277;13;27;30;7;10;13
"81";3;7005;829;3009;430;610;529;12412;56;7;24;3;5;4
"82";3;219;9540;14403;283;7818;156;32419;1;29;44;1;24;0
"83";3;10362;9232;11009;737;3537;2342;37219;28;25;30;2;10;6
"84";3;20874;1563;1783;2320;550;772;27862;75;6;6;8;2;3
"85";3;11867;3327;4814;1178;3837;120;25143;47;13;19;5;15;0
"86";3;16117;46197;92780;1026;40827;2944;199891;8;23;46;1;20;1
"87";3;22925;73498;32114;987;20070;903;150497;15;49;21;1;13;1
"88";3;43265;5025;8117;6312;1579;14351;78649;55;6;10;8;2;18
"89";3;7864;542;4042;9735;165;46;22394;35;2;18;43;1;0
"90";3;24904;3836;5330;3443;454;3178;41145;61;9;13;8;1;8
"91";3;11405;596;1638;3347;69;360;17415;65;3;9;19;0;2
"92";3;12754;2762;2530;8693;627;1117;28483;45;10;9;31;2;4
"93";3;9198;27472;32034;3232;18906;5130;95972;10;29;33;3;20;5
"94";3;11314;3090;2062;35009;71;2698;54244;21;6;4;65;0;5
"95";3;5626;12220;11323;206;5038;244;34657;16;35;33;1;15;1
"96";3;3;2920;6252;440;223;709;10547;0;28;59;4;2;7
"97";3;23;2616;8118;145;3874;217;14993;0;17;54;1;26;1
"98";3;403;254;610;774;54;63;2158;19;12;28;36;3;3
"99";3;503;112;778;895;56;132;2476;20;5;31;36;2;5
"100";3;9658;2182;1909;5639;215;323;19926;48;11;10;28;1;2
"101";3;11594;7779;12144;3252;8035;3029;45833;25;17;26;7;18;7
"102";3;1420;10810;16267;1593;6766;1838;38694;4;28;42;4;17;5
"103";3;2932;6459;7677;2561;4573;1386;25588;11;25;30;10;18;5
"104";3;56082;3504;8906;18028;1480;2498;90498;62;4;10;20;2;3
"105";3;14100;2132;3445;1336;1491;548;23052;61;9;15;6;6;2
"106";3;15587;1014;3970;910;139;1378;22998;68;4;17;4;1;6
"107";3;1454;6337;10704;133;6830;1831;27289;5;23;39;0;25;7
"108";3;8797;10646;14886;2471;8969;1438;47207;19;23;32;5;19;3
"109";3;1531;8397;6981;247;2505;1236;20897;7;40;33;1;12;6
"110";3;1406;16729;28986;673;836;3;48633;3;34;60;1;2;0
"111";3;11818;1648;1694;2276;169;1647;19252;61;9;9;12;1;9
"112";3;12579;11114;17569;805;6457;1519;50043;25;22;35;2;13;3
"113";3;19046;2770;2469;8853;483;2708;36329;52;8;7;24;1;7
"114";3;14438;2295;1733;3220;585;1561;23832;61;10;7;14;2;7
"115";3;18044;1080;2000;2555;118;1266;25063;72;4;8;10;0;5
"116";3;11134;793;2988;2715;276;610;18516;60;4;16;15;1;3
"117";3;11173;2521;3355;1517;310;222;19098;59;13;18;8;2;1
"118";3;6990;3880;5380;1647;319;1160;19376;36;20;28;9;2;6
"119";3;20049;1891;2362;5343;411;933;30989;65;6;8;17;1;3
"120";3;8258;2344;2147;3896;266;635;17546;47;13;12;22;2;4
"121";3;17160;1200;3412;2417;174;1136;25499;67;5;13;9;1;4
"122";3;4020;3234;1498;2395;264;255;11666;34;28;13;21;2;2
"123";3;12212;201;245;1991;25;860;15534;79;1;2;13;0;6
"124";3;11170;10769;8814;2194;1976;143;35066;32;31;25;6;6;0
"125";3;36050;1642;2961;4787;500;1621;47561;76;3;6;10;1;3
"126";3;76237;3473;7102;16538;778;918;105046;73;3;7;16;1;1
"127";3;19219;1840;1658;8195;349;483;31744;61;6;5;26;1;2
"128";3;21465;7243;10685;880;2386;2749;45408;47;16;24;2;5;6
"129";3;140;8847;3823;142;1062;3;14017;1;63;27;1;8;0
"130";3;42312;926;1510;1718;410;1819;48695;87;2;3;4;1;4
"131";3;7149;2428;699;6316;395;911;17898;40;14;4;35;2;5
"132";3;2101;589;314;346;70;310;3730;56;16;8;9;2;8
"133";3;14903;2032;2479;576;955;328;21273;70;10;12;3;4;2
"134";3;9434;1042;1235;436;256;396;12799;74;8;10;3;2;3
"135";3;7388;1882;2174;720;47;537;12748;58;15;17;6;0;4
"136";3;6300;1289;2591;1170;199;326;11875;53;11;22;10;2;3
"137";3;4625;8579;7030;4575;2447;1542;28798;16;30;24;16;8;5
"138";3;3087;8080;8282;661;721;36;20867;15;39;40;3;3;0
"139";3;13537;4257;5034;155;249;3271;26503;51;16;19;1;1;12
"140";3;5387;4979;3343;825;637;929;16100;33;31;21;5;4;6
"141";3;17623;4280;7305;2279;960;2616;35063;50;12;21;6;3;7
"142";3;30379;13252;5189;321;51;1450;50642;60;26;10;1;0;3
"143";3;37036;7152;8253;2995;20;3;55459;67;13;15;5;0;0
"144";3;10405;1596;1096;8425;399;318;22239;47;7;5;38;2;1
"145";3;18827;3677;1988;118;516;201;25327;74;15;8;0;2;1
"146";3;22039;8384;34792;42;12591;4430;82278;27;10;42;0;15;5
"147";3;7769;1936;2177;926;73;520;13401;58;14;16;7;1;4
"148";3;9203;3373;2707;1286;1082;526;18177;51;19;15;7;6;3
"149";3;5924;584;542;4052;283;434;11819;50;5;5;34;2;4
"150";3;31812;1433;1651;800;113;1440;37249;85;4;4;2;0;4
"151";3;16225;1825;1765;853;170;1067;21905;74;8;8;4;1;5
"152";3;1289;3328;2022;531;255;1774;9199;14;36;22;6;3;19
"153";3;18840;1371;3135;3001;352;184;26883;70;5;12;11;1;1
"154";3;3463;9250;2368;779;302;1627;17789;19;52;13;4;2;9
"155";3;622;55;137;75;7;8;904;69;6;15;8;1;1
"156";3;1989;10690;19460;233;11577;2153;46102;4;23;42;1;25;5
"157";3;3830;5291;14855;317;6694;3182;34169;11;15;43;1;20;9
"158";3;17773;1366;2474;3378;811;418;26220;68;5;9;13;3;2
"159";3;2861;6570;9618;930;4004;1682;25665;11;26;37;4;16;7
"160";3;355;7704;14682;398;8077;303;31519;1;24;47;1;26;1
"161";3;1725;3651;12822;824;4424;2157;25603;7;14;50;3;17;8
"162";3;12434;540;283;1092;3;2233;16585;75;3;2;7;0;13
"163";3;15177;2024;3810;2665;232;610;24518;62;8;16;11;1;2
"164";3;5531;15726;26870;2367;13726;446;64666;9;24;42;4;21;1
"165";3;5224;7603;8584;2540;3674;238;27863;19;27;31;9;13;1
"166";3;15615;12653;19858;4425;7108;2379;62038;25;20;32;7;11;4
"167";3;4822;6721;9170;993;4973;3637;30316;16;22;30;3;16;12
"168";3;2926;3195;3268;405;1680;693;12167;24;26;27;3;14;6
"169";3;5809;735;803;1393;79;429;9248;63;8;9;15;1;5
"170";3;5414;717;2155;2399;69;750;11504;47;6;19;21;1;7
"171";3;260;8675;13430;1116;7015;323;30819;1;28;44;4;23;1
"172";3;200;25862;19816;651;8773;6250;61552;0;42;32;1;14;10
"173";3;955;5479;6536;333;2840;707;16850;6;33;39;2;17;4
"174";3;514;7677;19805;937;9836;716;39485;1;19;50;2;25;2
"175";3;286;1208;5241;2515;153;1442;10845;3;11;48;23;1;13
"176";3;2343;7845;11874;52;4196;1697;28007;8;28;42;0;15;6
"177";3;45640;6958;6536;7368;1532;230;68264;67;10;10;11;2;0
"178";3;12759;7330;4533;1752;20;2631;29025;44;25;16;6;0;9
"179";3;11002;7075;4945;1152;120;395;24689;45;29;20;5;0;2
"180";3;3157;4888;2500;4477;273;2165;17460;18;28;14;26;2;12
"181";3;12356;6036;8887;402;1382;2794;31857;39;19;28;1;4;9
"182";3;112151;29627;18148;16745;4948;8550;190169;59;16;10;9;3;4
"183";3;694;8533;10518;443;6907;156;27251;3;31;39;2;25;1
"184";3;36847;43950;20170;36534;239;47943;185683;20;24;11;20;0;26
"185";3;327;918;4710;74;334;11;6374;5;14;74;1;5;0
"186";3;8170;6448;1139;2181;58;247;18243;45;35;6;12;0;1
"187";3;3009;521;854;3470;949;727;9530;32;5;9;36;10;8
"188";3;2438;8002;9819;6269;3459;3;29990;8;27;33;21;12;0
"189";3;8040;7639;11687;2758;6839;404;37367;22;20;31;7;18;1
"190";3;834;11577;11522;275;4027;1856;30091;3;38;38;1;13;6
"191";3;16936;6250;1981;7332;118;64;32681;52;19;6;22;0;0
"192";3;13624;295;1381;890;43;84;16317;83;2;8;5;0;1
"193";3;5509;1461;2251;547;187;409;10364;53;14;22;5;2;4
"194";3;180;3485;20292;959;5618;666;31200;1;11;65;3;18;2
"195";3;7107;1012;2974;806;355;1142;13396;53;8;22;6;3;9
"196";3;17023;5139;5230;7888;330;1755;37365;46;14;14;21;1;5
"197";1;30624;7209;4897;18711;763;2876;65080;47;11;8;29;1;4
"198";1;2427;7097;10391;1127;4314;1468;26824;9;26;39;4;16;5
"199";1;11686;2154;6824;3527;592;697;25480;46;8;27;14;2;3
"200";1;9670;2280;2112;520;402;347;15331;63;15;14;3;3;2
"201";1;3067;13240;23127;3941;9959;731;54065;6;24;43;7;18;1
"202";1;4484;14399;24708;3549;14235;1681;63056;7;23;39;6;23;3
"203";1;25203;11487;9490;5065;284;6854;58383;43;20;16;9;0;12
"204";1;583;685;2216;469;954;18;4925;12;14;45;10;19;0
"205";1;1956;891;5226;1383;5;1328;10789;18;8;48;13;0;12
"206";1;1107;11711;23596;955;9265;710;47344;2;25;50;2;20;1
"207";1;6373;780;950;878;288;285;9554;67;8;10;9;3;3
"208";1;2541;4737;6089;2946;5316;120;21749;12;22;28;14;24;1
"209";1;1537;3748;5838;1859;3381;806;17169;9;22;34;11;20;5
"210";1;5550;12729;16767;864;12420;797;49127;11;26;34;2;25;2
"211";1;18567;1895;1393;1801;244;2100;26000;71;7;5;7;1;8
"212";1;12119;28326;39694;4736;19410;2870;107155;11;26;37;4;18;3
"213";1;7291;1012;2062;1291;240;1775;13671;53;7;15;9;2;13
"214";1;3317;6602;6861;1329;3961;1215;23285;14;28;29;6;17;5
"215";1;2362;6551;11364;913;5957;791;27938;8;23;41;3;21;3
"216";1;2806;10765;15538;1374;5828;2388;38699;7;28;40;4;15;6
"217";1;2532;16599;36486;179;13308;674;69778;4;24;52;0;19;1
"218";1;18044;1475;2046;2532;130;1158;25385;71;6;8;10;1;5
"219";1;18;7504;15205;1285;4797;6372;35181;0;21;43;4;14;18
"220";1;4155;367;1390;2306;86;130;8434;49;4;16;27;1;2
"221";1;14755;899;1382;1765;56;749;19606;75;5;7;9;0;4
"222";1;5396;7503;10646;91;4167;239;28042;19;27;38;0;15;1
"223";1;5041;1115;2856;7496;256;375;17139;29;7;17;44;1;2
"224";1;2790;2527;5265;5612;788;1360;18342;15;14;29;31;4;7
"225";1;7274;659;1499;784;70;659;10945;66;6;14;7;1;6
"226";1;12680;3243;4157;660;761;786;22287;57;15;19;3;3;4
"227";1;20782;5921;9212;1759;2568;1553;41795;50;14;22;4;6;4
"228";1;4042;2204;1563;2286;263;689;11047;37;20;14;21;2;6
"229";1;1869;577;572;950;4762;203;8933;21;6;6;11;53;2
"230";1;8656;2746;2501;6845;694;980;22422;39;12;11;31;3;4
"231";1;11072;5989;5615;8321;955;2137;34089;32;18;16;24;3;6
"232";1;2344;10678;3828;1439;1566;490;20345;12;52;19;7;8;2
"233";1;25962;1780;3838;638;284;834;33336;78;5;12;2;1;3
"234";1;964;4984;3316;937;409;7;10617;9;47;31;9;4;0
"235";1;15603;2703;3833;4260;325;2563;29287;53;9;13;15;1;9
"236";1;1838;6380;2824;1218;1216;295;13771;13;46;21;9;9;2
"237";1;8635;820;3047;2312;415;225;15454;56;5;20;15;3;1
"238";1;18692;3838;593;4634;28;1215;29000;64;13;2;16;0;4
"239";1;7363;475;585;1112;72;216;9823;75;5;6;11;1;2
"240";1;47493;2567;3779;5243;828;2253;62163;76;4;6;8;1;4
"241";1;22096;3575;7041;11422;343;2564;47041;47;8;15;24;1;5
"242";1;24929;1801;2475;2216;412;1047;32880;76;5;8;7;1;3
"243";1;18226;659;2914;3752;586;578;26715;68;2;11;14;2;2
"244";1;11210;3576;5119;561;1682;2398;24546;46;15;21;2;7;10
"245";1;6202;7775;10817;1183;3143;1970;31090;20;25;35;4;10;6
"246";1;3062;6154;13916;230;8933;2784;35079;9;18;40;1;25;8
"247";1;8885;2428;1777;1777;430;610;15907;56;15;11;11;3;4
"248";1;13569;346;489;2077;44;659;17184;79;2;3;12;0;4
"249";1;15671;5279;2406;559;562;572;25049;63;21;10;2;2;2
"250";1;8040;3795;2070;6340;918;291;21454;37;18;10;30;4;1
"251";1;3191;1993;1799;1730;234;710;9657;33;21;19;18;2;7
"252";1;6134;23133;33586;6746;18594;5121;93314;7;25;36;7;20;5
"253";1;6623;1860;4740;7683;205;1693;22804;29;8;21;34;1;7
"254";1;29526;7961;16966;432;363;1391;56639;52;14;30;1;1;2
"255";1;10379;17972;4748;4686;1547;3265;42597;24;42;11;11;4;8
"256";1;31614;489;1495;3242;111;615;37566;84;1;4;9;0;2
"257";1;11092;5008;5249;453;392;373;22567;49;22;23;2;2;2
"258";1;8475;1931;1883;5004;3593;987;21873;39;9;9;23;16;5
"259";1;56083;4563;2124;6422;730;3321;73243;77;6;3;9;1;5
"260";1;53205;4959;7336;3012;967;818;70297;76;7;10;4;1;1
"261";1;9193;4885;2157;327;780;548;17890;51;27;12;2;4;3
"262";1;7858;1110;1094;6818;49;287;17216;46;6;6;40;0;2
"263";1;23257;1372;1677;982;429;655;28372;82;5;6;3;2;2
"264";1;2153;1115;6684;4324;2894;411;17581;12;6;38;25;16;2
"265";1;1073;9679;15445;61;5980;1265;33503;3;29;46;0;18;4
"266";1;5909;23527;13699;10155;830;3636;57756;10;41;24;18;1;6
"267";1;572;9763;22182;2221;4882;2563;42183;1;23;53;5;12;6
"268";1;20893;1222;2576;3975;737;3628;33031;63;4;8;12;2;11
"269";1;11908;8053;19847;1069;6374;698;47949;25;17;41;2;13;1
"270";1;15218;258;1138;2516;333;204;19667;77;1;6;13;2;1
"271";1;4720;1032;975;5500;197;56;12480;38;8;8;44;2;0
"272";1;2083;5007;1563;1120;147;1550;11470;18;44;14;10;1;14
"273";1;514;8323;6869;529;93;1040;17368;3;48;40;3;1;6
"274";3;36817;3045;1493;4802;210;1824;48191;76;6;3;10;0;4
"275";3;894;1703;1841;744;759;1153;7094;13;24;26;10;11;16
"276";3;680;1610;223;862;96;379;3850;18;42;6;22;2;10
"277";3;27901;3749;6964;4479;603;2503;46199;60;8;15;10;1;5
"278";3;9061;829;683;16919;621;139;28252;32;3;2;60;2;0
"279";3;11693;2317;2543;5845;274;1409;24081;49;10;11;24;1;6
"280";3;17360;6200;9694;1293;3620;1721;39888;44;16;24;3;9;4
"281";3;3366;2884;2431;977;167;1104;10929;31;26;22;9;2;10
"282";3;12238;7108;6235;1093;2328;2079;31081;39;23;20;4;7;7
"283";3;49063;3965;4252;5970;1041;1404;65695;75;6;6;9;2;2
"284";3;25767;3613;2013;10303;314;1384;43394;59;8;5;24;1;3
"285";3;68951;4411;12609;8692;751;2406;97820;70;5;13;9;1;2
"286";3;40254;640;3600;1042;436;18;45990;88;1;8;2;1;0
"287";3;7149;2247;1242;1619;1226;128;13611;53;17;9;12;9;1
"288";3;15354;2102;2828;8366;386;1027;30063;51;7;9;28;1;3
"289";3;16260;594;1296;848;445;258;19701;83;3;7;4;2;1
"290";3;42786;286;471;1388;32;22;44985;95;1;1;3;0;0
"291";3;2708;2160;2642;502;965;1522;10499;26;21;25;5;9;14
"292";3;6022;3354;3261;2507;212;686;16042;38;21;20;16;1;4
"293";3;2838;3086;4329;3838;825;1060;15976;18;19;27;24;5;7
"294";2;3996;11103;12469;902;5952;741;35163;11;32;35;3;17;2
"295";2;21273;2013;6550;909;811;1854;33410;64;6;20;3;2;6
"296";2;7588;1897;5234;417;2208;254;17598;43;11;30;2;13;1
"297";2;19087;1304;3643;3045;710;898;28687;67;5;13;11;2;3
"298";2;8090;3199;6986;1455;3712;531;23973;34;13;29;6;15;2
"299";2;6758;4560;9965;934;4538;1037;27792;24;16;36;3;16;4
"300";2;444;879;2060;264;290;259;4196;11;21;49;6;7;6
"301";2;16448;6243;6360;824;2662;2005;34542;48;18;18;2;8;6
"302";2;5283;13316;20399;1809;8752;172;49731;11;27;41;4;18;0
"303";2;2886;5302;9785;364;6236;555;25128;11;21;39;1;25;2
"304";2;2599;3688;13829;492;10069;59;30736;8;12;45;2;33;0
"305";2;161;7460;24773;617;11783;2410;47204;0;16;52;1;25;5
"306";2;243;12939;8852;799;3909;211;26953;1;48;33;3;15;1
"307";2;6468;12867;21570;1840;7558;1543;51846;12;25;42;4;15;3
"308";2;17327;2374;2842;1149;351;925;24968;69;10;11;5;1;4
"309";2;6987;1020;3007;416;257;656;12343;57;8;24;3;2;5
"310";2;918;20655;13567;1465;6846;806;44257;2;47;31;3;15;2
"311";2;7034;1492;2405;12569;299;1117;24916;28;6;10;50;1;4
"312";2;29635;2335;8280;3046;371;117;43784;68;5;19;7;1;0
"313";2;2137;3737;19172;1274;17120;142;43582;5;9;44;3;39;0
"314";2;9784;925;2405;4447;183;297;18041;54;5;13;25;1;2
"315";2;10617;1795;7647;1483;857;1233;23632;45;8;32;6;4;5
"316";2;1479;14982;11924;662;3891;3508;36446;4;41;33;2;11;10
"317";2;7127;1375;2201;2679;83;1059;14524;49;9;15;18;1;7
"318";2;1182;3088;6114;978;821;1637;13820;9;22;44;7;6;12
"319";2;11800;2713;3558;2121;706;51;20949;56;13;17;10;3;0
"320";2;9759;25071;17645;1128;12408;1625;67636;14;37;26;2;18;2
"321";2;1774;3696;2280;514;275;834;9373;19;39;24;5;3;9
"322";2;9155;1897;5167;2714;228;1113;20274;45;9;25;13;1;5
"323";2;15881;713;3315;3703;1470;229;25311;63;3;13;15;6;1
"324";2;13360;944;11593;915;1679;573;29064;46;3;40;3;6;2
"325";2;25977;3587;2464;2369;140;1092;35629;73;10;7;7;0;3
"326";2;32717;16784;13626;60869;1272;5609;130877;25;13;10;47;1;4
"327";2;4414;1610;1431;3498;387;834;12174;36;13;12;29;3;7
"328";2;542;899;1664;414;88;522;4129;13;22;40;10;2;13
"329";2;16933;2209;3389;7849;210;1534;32124;53;7;11;24;1;5
"330";2;5113;1486;4583;5127;492;739;17540;29;8;26;29;3;4
"331";2;9790;1786;5109;3570;182;1043;21480;46;8;24;17;1;5
"332";2;11223;14881;26839;1234;9606;1102;64885;17;23;41;2;15;2
"333";2;22321;3216;1447;2208;178;2602;31972;70;10;5;7;1;8
"334";2;8565;4980;67298;131;38102;1215;120291;7;4;56;0;32;1
"335";2;16823;928;2743;11559;332;3486;35871;47;3;8;32;1;10
"336";2;27082;6817;10790;1365;4111;2139;52304;52;13;21;3;8;4
"337";2;13970;1511;1330;650;146;778;18385;76;8;7;4;1;4
"338";2;9351;1347;2611;8170;442;868;22789;41;6;11;36;2;4
"339";2;3;333;7021;15601;15;550;23523;0;1;30;66;0;2
"340";2;2617;1188;5332;9584;573;1942;21236;12;6;25;45;3;9
"341";3;381;4025;9670;388;7271;1371;23106;2;17;42;2;31;6
"342";3;2320;5763;11238;767;5162;2158;27408;8;21;41;3;19;8
"343";3;255;5758;5923;349;4595;1328;18208;1;32;33;2;25;7
"344";3;1689;6964;26316;1456;15469;37;51931;3;13;51;3;30;0
"345";3;3043;1172;1763;2234;217;379;8808;35;13;20;25;2;4
"346";3;1198;2602;8335;402;3843;303;16683;7;16;50;2;23;2
"347";3;2771;6939;15541;2693;6600;1115;35659;8;19;44;8;19;3
"348";3;27380;7184;12311;2809;4621;1022;55327;49;13;22;5;8;2
"349";3;3428;2380;2028;1341;1184;665;11026;31;22;18;12;11;6
"350";3;5981;14641;20521;2005;12218;445;55811;11;26;37;4;22;1
"351";3;3521;1099;1997;1796;173;995;9581;37;11;21;19;2;10
"352";3;1210;10044;22294;1741;12638;3137;51064;2;20;44;3;25;6
"353";3;608;1106;1533;830;90;195;4362;14;25;35;19;2;4
"354";3;117;6264;21203;228;8682;1111;37605;0;17;56;1;23;3
"355";3;14039;7393;2548;6386;1333;2341;34040;41;22;7;19;4;7
"356";3;190;727;2012;245;184;127;3485;5;21;58;7;5;4
"357";3;22686;134;218;3157;9;548;26752;85;1;1;12;0;2
"358";3;37;1275;22272;137;6747;110;30578;0;4;73;0;22;0
"359";3;759;18664;1660;6114;536;4100;31833;2;59;5;19;2;13
"360";3;796;5878;2109;340;232;776;10131;8;58;21;3;2;8
"361";3;19746;2872;2006;2601;468;503;28196;70;10;7;9;2;2
"362";3;4734;607;864;1206;159;405;7975;59;8;11;15;2;5
"363";3;2121;1601;2453;560;179;712;7626;28;21;32;7;2;9
"364";3;4627;997;4438;191;1335;314;11902;39;8;37;2;11;3
"365";3;2615;873;1524;1103;514;468;7097;37;12;21;16;7;7
"366";3;4692;6128;8025;1619;4515;3105;28084;17;22;29;6;16;11
"367";3;9561;2217;1664;1173;222;447;15284;63;15;11;8;1;3
"368";3;3477;894;534;1457;252;342;6956;50;13;8;21;4;5
"369";3;22335;1196;2406;2046;101;558;28642;78;4;8;7;0;2
"370";3;6211;337;683;1089;41;296;8657;72;4;8;13;0;3
"371";3;39679;3944;4955;1364;523;2235;52700;75;7;9;3;1;4
"372";3;20105;1887;1939;8164;716;790;33601;60;6;6;24;2;2
"373";3;3884;3801;1641;876;397;4829;15428;25;25;11;6;3;31
"374";3;15076;6257;7398;1504;1916;3113;35264;43;18;21;4;5;9
"375";3;6338;2256;1668;1492;311;686;12751;50;18;13;12;2;5
"376";3;5841;1450;1162;597;476;70;9596;61;15;12;6;5;1
"377";3;3136;8630;13586;5641;4666;1426;37085;8;23;37;15;13;4
"378";3;38793;3154;2648;1034;96;1242;46967;83;7;6;2;0;3
"379";3;3225;3294;1902;282;68;1114;9885;33;33;19;3;1;11
"380";3;4048;5164;10391;130;813;179;20725;20;25;50;1;4;1
